DIS_LOSS_BATCH: 0.60349684115, GEN_LOSS_BATCH: 1.497538805
DIS_LOSS_BATCH: 0.21074306965, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22162003815, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1966393292, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.23202368615, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19086298345, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21066491305, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19008022545, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19598917665, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2035910487, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2053858936, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22805529835, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2118856758, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2231350839, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22716598215, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1930883974, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20687258245, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.17842549085, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2155056894, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1922814846, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20323070885, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2112864852, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19725865125, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2077559978, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2022792399, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20869913695, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2037394792, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2092078626, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2028093636, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19803909955, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19893071055, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2081516683, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2027068436, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2105695009, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19588041305, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2252228856, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2102238536, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1988026649, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2158729732, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21495744585, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2107909918, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19250938295, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21224610505, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.218000859, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2149397582, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2309062034, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1940638721, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2141583711, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2305255085, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2150852382, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2331813872, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2300120592, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21142598985, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2055672407, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22235426305, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2007660568, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1953343451, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2123978436, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.19641318915, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21571716665, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.18374936285, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.1914831251, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.17604465785, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21629463135, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.23428587615, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22217333315, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2134886384, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2316445112, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22510679065, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2142229676, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2070209533, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22238461675, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22479489445, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.184756279, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.22010563315, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21212375165, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.21502117815, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.20335534215, GEN_LOSS_BATCH: 0.0
DIS_LOSS_BATCH: 0.2026155442, GEN_LOSS_BATCH: 0.0
